2.    التعريف ببرامج تصفح الإنترنت وكيفية إجراء البحث على الشبكة.,1,4,C22
3.    البريد الإلكتروني.,1,4,C22
1.    مراجعة على برنامج MS0Windows والملفات مع دراسة إنشاء المجلدات.,1,4,C23
2.    صقل مهارات لبرنامج MS0Word.,1,4,C23
3.    دراسة أولية لبرنامج MS0Power Point وإمكانياته في عرض التقارير النقاط الأساسية والرسوم البيانية لأي مشروع.,2,5,C23
4.    دراسة أولية لاستخدام شبكة الإنترنت.,1,4,C23
5.    دراسة أولية لبرنامج MS0Outlook وإمكانياته واستخدام البريد الإلكتروني ,3,10,C23
1.    مقدمة عن قواعد البيانات وتشغيل SQL.,4,1,C24
2.    الاستعلام عن البيانات.,1,4,C24
3.    التعامل مع البيانات (إضافة – حذف – تعديل).,1,4,C24
4.    إنشاء الجداول والقيود.,1,4,C24
5.    إنشاء تطبيق عملي مصغر.,0,5,C24
1.    البرمجة باستخدام PL/SQL.,1,4,C25
2.    إنشاء النماذج باستخدام Form Builder.,1,4,C25
3.    إنشاء التقارير باستخدام Report Builder.,1,4,C25
4.    إنشاء تطبيق عملي .,0,10,C25
1.    مناقشة التطبيق المقترح.,3,2,C26
2.    إنشاء جداول البيانات.,1,4,C26
3.    شاشات إدخال البيانات.,1,4,C26
4.    إنشاء الــ View والتقارير.,1,4,C26
5.    تنفيذ التطبيق عملياُ .,1,4,C26
1.    مقدمة عن قواعد البيانات  Oracle.,2,3,C27
2.    تثبيت برمجيات قواعد البيانات على الخادم الرئيسي.,1,4,C27
3.    تعريف المستخدمين وتحديد صلاحياتهم.,1,4,C27
4.    التعامل مع كائنات قواعد البيانات Oracle.,1,4,C27
5.    عمل النسخ الاحتياطية من البيانات واسترجاع البيانات.,1,4,C27
1.    مقدمة عن قواعد البيانات وتشغيل SQL Server Management Studio.,4,1,C28
2.    إنشاء الجداول وتوصيف الأعمدة ووضع القيود. ,1,4,C28
3.    توصيف العلاقات بين الجداول. ,1,4,C28
4.    التعامل مع البيانات (إضافة – حذف – تعديل). ,1,4,C28
5.    إنشاء الاستعلامات وتشغيلها. ,1,4,C28
1.     مراجعة على الأوامر الأولية لقواعد البيانات.,4,1,C29
2.     موضوعات متقدمة في الاستعلام عن البيانات.,2,8,C29
3.     إنشاء الإجراءات المخزنة.,1,4,C29
4.     تصميم التقارير. ,1,4,C29
1.    مقدمة عن قواعد البيانات.,2,3,C31
2.    تثبيت قواعد البيانات على الخادم الرئيسي.,1,4,C31
3.    تعريف المستخدمين وتحديد صلاحياتهم.,1,4,C31
4.    التعامل مع كائنات قواعد البيانات.,1,4,C31
5.    عمل النسخ الاحتياطية واسترجاع البيانات.,0,5,C31
1.    مقدمة عن البرمجة بلغة JAVA.,4,1,C32
2.    التعامل مع البيانات وعبارات الإدخال والإخراج.,1,4,C32
3.    الشروط والتكرارات والهياكل الأساسية للبرمجة. ,1,4,C32
4.    شرح الدوال واستخداماتها.,1,4,C32
5.    إنشاء دوال المستخدم وتطبيقاتها.,1,4,C32
1.    مراجعة عن البرمجة بلغة Java.,4,1,C33
2.    مدخل عن البرمجة باستخدام الكائنات.,1,4,C33
