1.  مقدمة عن نظم التشغيل وإصدارات Linux المختلفة.,4,1,C02,1
2.  التعرف على نظام التشغيل ومكونات سطح المكتب.,1,4,C02,2
3.  تطبيقات معالجة الكلمات المدمجة بالنظام.,1,4,C02,3
4.  التعامل مع الملفات والفهارس ونظام الملفات.,1,4,C02,4
5.  ضبط إعدادات النظام وتخصيص الاختيارات الشخصية المفضلة.,1,4,C02,5
